ID,Year_Birth,ages,Education,PhD,Graduation,2n Cycle,Basic,Master,Marital_Status,single,married,Income,Kidhome,Teenhome,Dt_Customer,months,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spent,Total_Spent_Per_Month,Childbin,Kidbin,Teenbin,NwpPerVM,NwpPerV,NumPurchases,WebRatio
387,1976,40,Basic,0,0,0,1,0,Married,0,1,7500.0,0,0,13-11-2012,49,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,61,124.54166666666667,0,0,0,0.00510204081632653,0.25,11,0.7272727272727273
2125,1959,57,Graduation,0,1,0,0,0,Divorced,1,0,63033.0,0,0,15-11-2013,37,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1102,1698.9166666666667,0,0,0,0.04054054054054054,1.5,14,0.14285714285714285
8180,1952,64,Master,0,0,0,0,1,Divorced,1,0,59354.0,1,1,15-11-2013,37,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,310,477.9166666666667,1,1,1,0.02702702702702703,1.0,12,0.5
2569,1987,29,Graduation,0,1,0,0,0,Married,0,1,17323.0,0,0,10-10-2012,50,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,95.83333333333333,0,0,0,0.0025,0.125,11,0.7272727272727273
2114,1946,70,PhD,1,0,0,0,0,Single,1,0,82800.0,0,0,24-11-2012,49,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1315,2684.7916666666665,0,0,0,0.047619047619047616,2.3333333333333335,21,0.14285714285714285
9736,1980,36,Graduation,0,1,0,0,0,Married,0,1,41850.0,1,1,24-12-2012,48,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,96,192.0,1,1,1,0.0078125,0.375,11,0.7272727272727273
4939,1946,70,Graduation,0,1,0,0,0,Together,0,1,37760.0,0,0,31-08-2012,52,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,317,686.8333333333334,0,0,0,0.01098901098901099,0.5714285714285714,14,0.5
6565,1949,67,Master,0,0,0,0,1,Married,0,1,76995.0,0,1,28-03-2013,45,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1782,3341.25,0,0,1,0.04888888888888889,2.2,18,0.2777777777777778
2278,1985,31,2n Cycle,0,0,1,0,0,Single,1,0,33812.0,1,0,03-11-2012,49,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,133,271.5416666666667,0,1,0,0.006802721088435374,0.3333333333333333,10,0.6
9360,1982,34,Graduation,0,1,0,0,0,Married,0,1,37040.0,0,0,08-08-2012,52,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,316,684.6666666666666,0,0,0,0.009615384615384616,0.5,15,0.5333333333333333
5376,1979,37,Graduation,0,1,0,0,0,Married,0,1,2447.0,1,0,06-01-2013,47,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1730,3387.9166666666665,0,1,0,0.0,0.0,29,0.034482758620689655
1993,1949,67,PhD,1,0,0,0,0,Married,0,1,58607.0,0,1,23-12-2012,48,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,1944.0,0,0,1,0.005208333333333333,0.25,20,0.4
4047,1954,62,PhD,1,0,0,0,0,Married,0,1,65324.0,0,1,11-01-2014,35,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,793.3333333333334,0,0,1,0.04285714285714286,1.5,15,0.26666666666666666
1409,1951,65,Graduation,0,1,0,0,0,Together,0,1,40689.0,0,1,18-03-2013,45,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,832.5,0,0,1,0.019444444444444445,0.875,14,0.5714285714285714
7892,1969,47,Graduation,0,1,0,0,0,Single,1,0,18589.0,0,0,02-01-2013,47,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,75,146.875,0,0,0,0.0060790273556231,0.2857142857142857,11,0.6363636363636364
2404,1976,40,Graduation,0,1,0,0,0,Married,0,1,53359.0,1,1,27-05-2013,43,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,257,460.4583333333333,1,1,1,0.016611295681063124,0.7142857142857143,12,0.5833333333333334
9422,1989,27,Graduation,0,1,0,0,0,Married,0,1,38360.0,1,0,31-05-2013,43,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,131,234.70833333333334,0,1,0,0.015503875968992248,0.6666666666666666,8,0.375
1966,1965,51,PhD,1,0,0,0,0,Married,0,1,84618.0,0,0,22-11-2013,37,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1672,2577.6666666666665,0,0,0,0.08108108108108109,3.0,21,0.09523809523809523
6864,1989,27,Master,0,0,0,0,1,Divorced,1,0,10979.0,0,0,22-05-2014,31,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,30,38.75,0,0,0,0.01935483870967742,0.6,8,0.625
3033,1963,53,Master,0,0,0,0,1,Together,0,1,38620.0,0,0,11-05-2013,43,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,569.75,0,0,0,0.015503875968992248,0.6666666666666666,11,0.2727272727272727
5710,1970,46,Graduation,0,1,0,0,0,Together,0,1,40548.0,0,1,10-10-2012,50,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,120,250.0,0,0,1,0.008,0.4,10,0.5
7373,1952,64,PhD,1,0,0,0,0,Divorced,1,0,46610.0,0,2,29-10-2012,50,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,302,629.1666666666666,0,0,1,0.013333333333333334,0.6666666666666666,13,0.46153846153846156
8755,1946,70,Master,0,0,0,0,1,Married,0,1,68657.0,0,0,20-02-2013,46,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1196,2292.3333333333335,0,0,0,0.009316770186335404,0.42857142857142855,21,0.3333333333333333
10738,1951,65,Master,0,0,0,0,1,Single,1,0,49389.0,1,1,29-08-2013,40,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,65,108.33333333333333,1,1,1,0.007142857142857143,0.2857142857142857,10,0.7
4339,1970,46,PhD,1,0,0,0,0,Married,0,1,67353.0,0,1,31-12-2013,36,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,913,1369.5,0,0,1,0.06944444444444445,2.5,20,0.1
10755,1976,40,2n Cycle,0,0,1,0,0,Married,0,1,23718.0,1,0,02-09-2013,39,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,81,131.625,0,1,0,0.01098901098901099,0.42857142857142855,10,0.7
8595,1973,43,Graduation,0,1,0,0,0,Widow,1,0,42429.0,0,1,11-02-2014,34,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,94.91666666666667,0,0,1,0.0058823529411764705,0.2,9,0.5555555555555556
2968,1943,73,PhD,1,0,0,0,0,Divorced,1,0,48948.0,0,0,01-02-2013,46,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,902,1728.8333333333333,0,0,0,0.025362318840579712,1.1666666666666667,21,0.2857142857142857
8601,1980,36,Graduation,0,1,0,0,0,Married,0,1,80011.0,0,1,29-04-2013,44,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1395,2557.5,0,0,1,0.045454545454545456,2.0,15,0.26666666666666666
503,1985,31,Master,0,0,0,0,1,Married,0,1,20559.0,1,0,12-03-2013,45,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,53,99.375,0,1,0,0.005555555555555556,0.25,11,0.7272727272727273
8430,1957,59,Graduation,0,1,0,0,0,Together,0,1,21994.0,0,1,24-12-2012,48,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,22,44.0,0,0,1,0.0,0.0,8,0.625
2139,1975,41,Master,0,0,0,0,1,Married,0,1,7500.0,1,0,02-10-2013,38,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,31,49.083333333333336,0,1,0,0.010526315789473684,0.4,8,0.625
1371,1976,40,Graduation,0,1,0,0,0,Single,1,0,79941.0,0,0,28-06-2014,30,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,984,1230.0,0,0,0,0.06666666666666667,2.0,14,0.07142857142857142
9909,1996,20,2n Cycle,0,0,1,0,0,Married,0,1,7500.0,0,0,09-11-2012,49,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,122,249.08333333333334,0,0,0,0.006802721088435374,0.3333333333333333,13,0.6923076923076923
7286,1968,48,Graduation,0,1,0,0,0,Together,0,1,41728.0,1,0,24-05-2013,43,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,55,98.54166666666667,0,1,0,0.004651162790697674,0.2,12,0.8333333333333334
6566,1954,62,PhD,1,0,0,0,0,Married,0,1,72550.0,1,1,08-11-2012,49,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1319,2692.9583333333335,1,1,1,0.012755102040816327,0.625,22,0.36363636363636365
8614,1957,59,Graduation,0,1,0,0,0,Widow,1,0,65486.0,0,1,12-05-2014,31,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,507,654.875,0,0,1,0.06451612903225806,2.0,14,0.14285714285714285
4114,1964,52,Master,0,0,0,0,1,Married,0,1,79143.0,0,0,11-08-2012,52,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,1693,3668.1666666666665,0,0,0,0.038461538461538464,2.0,25,0.12
1331,1977,39,Graduation,0,1,0,0,0,Single,1,0,35790.0,1,0,02-01-2013,47,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,72,141.0,0,1,0,0.0060790273556231,0.2857142857142857,10,0.7
2225,1977,39,Graduation,0,1,0,0,0,Divorced,1,0,82582.0,0,0,07-06-2014,30,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1617,2021.25,0,0,0,0.13333333333333333,4.0,17,0.058823529411764705
9381,1978,38,Graduation,0,1,0,0,0,Married,0,1,66373.0,1,1,12-06-2013,42,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,606,1060.5,1,1,1,0.031746031746031744,1.3333333333333333,15,0.2
6260,1955,61,Master,0,0,0,0,1,Together,0,1,82384.0,0,0,19-11-2012,49,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1957,3995.5416666666665,0,0,0,0.061224489795918366,3.0,24,0.041666666666666664
10383,1966,50,Graduation,0,1,0,0,0,Divorced,1,0,70287.0,0,0,02-04-2013,44,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1093,2003.8333333333333,0,0,0,0.03787878787878788,1.6666666666666667,18,0.16666666666666666
7437,1988,28,Graduation,0,1,0,0,0,Single,1,0,27938.0,1,0,28-04-2014,32,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,29,38.666666666666664,0,1,0,0.010416666666666666,0.3333333333333333,7,0.42857142857142855
8375,1968,48,PhD,1,0,0,0,0,Married,0,1,55954.0,0,1,03-03-2014,33,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,518,712.25,0,0,1,0.03463203463203463,1.1428571428571428,15,0.4666666666666667
6853,1982,34,Master,0,0,0,0,1,Single,1,0,75777.0,0,0,04-07-2013,41,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1438,2456.5833333333335,0,0,0,0.07317073170731707,3.0,18,0.05555555555555555
3076,1975,41,Graduation,0,1,0,0,0,Together,0,1,66653.0,1,1,07-09-2012,51,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,612,1300.5,1,1,1,0.026143790849673203,1.3333333333333333,17,0.17647058823529413
1012,1952,64,Graduation,0,1,0,0,0,Single,1,0,61823.0,0,1,18-02-2013,46,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,884,1694.3333333333333,0,0,1,0.024844720496894408,1.1428571428571428,19,0.3684210526315789
6518,1951,65,PhD,1,0,0,0,0,Widow,1,0,67680.0,0,1,11-06-2013,42,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,606,1060.5,0,0,1,0.03333333333333333,1.4,16,0.3125
4137,1948,68,Graduation,0,1,0,0,0,Together,0,1,70666.0,0,0,06-12-2013,36,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1076,1614.0,0,0,0,0.04861111111111111,1.75,12,0.3333333333333333
8082,1971,45,Graduation,0,1,0,0,0,Married,0,1,25721.0,1,0,21-05-2013,43,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,34,60.916666666666664,0,1,0,0.0033222591362126247,0.14285714285714285,10,0.7
1386,1967,49,Graduation,0,1,0,0,0,Together,0,1,32474.0,1,1,11-05-2014,31,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,14.208333333333334,1,1,1,0.004608294930875576,0.14285714285714285,9,0.7777777777777778
9369,1979,37,2n Cycle,0,0,1,0,0,Single,1,0,88194.0,0,1,19-03-2014,33,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1274,1751.75,0,0,1,0.06666666666666667,2.2,25,0.2
4477,1958,58,Graduation,0,1,0,0,0,Together,0,1,69096.0,0,1,27-09-2013,39,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,653,1061.125,0,0,1,0.03205128205128205,1.25,16,0.25
1357,1970,46,Graduation,0,1,0,0,0,Together,0,1,74854.0,1,2,08-04-2013,44,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1562,2863.6666666666665,1,1,1,0.00909090909090909,0.4,15,0.3333333333333333
1402,1954,62,Master,0,0,0,0,1,Married,0,1,66991.0,0,0,11-09-2012,51,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1253,2662.625,0,0,0,0.026143790849673203,1.3333333333333333,17,0.17647058823529413
6312,1959,57,Graduation,0,1,0,0,0,Married,0,1,65031.0,0,1,17-03-2013,45,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,863,1618.125,0,0,1,0.031746031746031744,1.4285714285714286,23,0.30434782608695654
8132,1975,41,PhD,1,0,0,0,0,Married,0,1,60631.0,1,1,05-04-2013,44,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,661,1211.8333333333333,1,1,1,0.02922077922077922,1.2857142857142858,17,0.4117647058823529
1050,1952,64,Graduation,0,1,0,0,0,Married,0,1,28332.0,0,0,30-04-2014,32,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,65,86.66666666666667,0,0,0,0.03125,1.0,7,0.2857142857142857
5846,1977,39,Graduation,0,1,0,0,0,Divorced,1,0,40246.0,1,0,19-12-2012,48,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,13,26.0,0,1,0,0.003472222222222222,0.16666666666666666,8,0.75
1859,1972,44,Master,0,0,0,0,1,Married,0,1,75251.0,0,0,27-08-2012,52,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1890,4095.0,0,0,0,0.026923076923076925,1.4,16,0.3125
7503,1976,40,Graduation,0,1,0,0,0,Single,1,0,75825.0,0,0,12-10-2012,50,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2209,4602.083333333333,0,0,0,0.025,1.25,21,0.19047619047619047
10401,1976,40,2n Cycle,0,0,1,0,0,Together,0,1,26326.0,0,0,04-09-2013,39,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,18,29.25,0,0,0,0.0,0.0,6,0.5
1618,1965,51,Graduation,0,1,0,0,0,Together,0,1,56046.0,0,0,02-01-2013,47,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692,1355.1666666666667,0,0,0,0.026595744680851064,1.25,17,0.47058823529411764
3332,1985,31,Graduation,0,1,0,0,0,Single,1,0,29760.0,1,0,29-08-2012,52,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,165,357.5,0,1,0,0.007211538461538462,0.375,13,0.6153846153846154
2261,1969,47,Graduation,0,1,0,0,0,Married,0,1,26304.0,1,0,23-06-2013,42,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,16,28.0,0,1,0,0.003401360544217687,0.14285714285714285,9,0.7777777777777778
5346,1973,43,2n Cycle,0,0,1,0,0,Married,0,1,23559.0,1,0,03-07-2013,41,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,79,134.95833333333334,0,1,0,0.010452961672473868,0.42857142857142855,10,0.7
4119,1963,53,Master,0,0,0,0,1,Together,0,1,38620.0,0,0,11-05-2013,43,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,569.75,0,0,0,0.015503875968992248,0.6666666666666666,11,0.2727272727272727
535,1987,29,Graduation,0,1,0,0,0,Divorced,1,0,81361.0,0,0,25-02-2014,34,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,778,1102.1666666666667,0,0,0,0.08823529411764706,3.0,24,0.041666666666666664
5268,1960,56,Graduation,0,1,0,0,0,Married,0,1,29440.0,1,1,11-08-2013,40,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,56,93.33333333333333,1,1,1,0.0035714285714285713,0.14285714285714285,11,0.6363636363636364
273,1970,46,Master,0,0,0,0,1,Married,0,1,36138.0,1,1,16-07-2013,41,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,151,257.9583333333333,1,1,1,0.010452961672473868,0.42857142857142855,12,0.5833333333333334
4452,1957,59,Graduation,0,1,0,0,0,Single,1,0,50388.0,0,1,28-05-2014,31,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,372,480.5,0,0,1,0.027649769585253458,0.8571428571428571,14,0.5
8504,1973,43,Graduation,0,1,0,0,0,Married,0,1,79593.0,0,0,12-05-2014,31,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1366,1764.4166666666667,0,0,0,0.08064516129032258,2.5,15,0.13333333333333333
771,1967,49,Graduation,0,1,0,0,0,Together,0,1,54178.0,0,1,21-01-2014,35,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,194,282.9166666666667,0,0,1,0.02857142857142857,1.0,9,0.2222222222222222
11178,1972,44,Master,0,0,0,0,1,Single,1,0,42394.0,1,0,23-03-2014,33,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,32,44.0,0,1,0,0.004329004329004329,0.14285714285714285,10,0.7
2230,1970,46,PhD,1,0,0,0,0,Married,0,1,23626.0,1,0,24-05-2014,31,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,43,55.541666666666664,0,1,0,0.01935483870967742,0.6,9,0.5555555555555556
7516,1983,33,Graduation,0,1,0,0,0,Married,0,1,30096.0,1,0,22-05-2014,31,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,45,58.125,0,1,0,0.010752688172043012,0.3333333333333333,9,0.6666666666666666
7247,1960,56,Graduation,0,1,0,0,0,Widow,1,0,47916.0,0,1,22-11-2012,49,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,606,1237.25,0,0,1,0.023809523809523808,1.1666666666666667,16,0.375
11100,1972,44,Graduation,0,1,0,0,0,Divorced,1,0,51813.0,1,1,11-04-2013,44,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,63,115.5,1,1,1,0.006493506493506494,0.2857142857142857,10,0.7
4646,1951,65,2n Cycle,0,0,1,0,0,Married,0,1,78497.0,0,0,01-12-2013,36,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,978,1467.0,0,0,0,0.06944444444444445,2.5,21,0.09523809523809523
3037,1983,33,PhD,1,0,0,0,0,Married,0,1,50150.0,0,0,20-06-2013,42,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,410,717.5,0,0,0,0.023809523809523808,1.0,14,0.35714285714285715
1473,1960,56,2n Cycle,0,0,1,0,0,Single,1,0,47823.0,0,1,23-07-2013,41,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,72,123.0,0,0,1,0.006097560975609756,0.25,11,0.7272727272727273
1016,1959,57,PhD,1,0,0,0,0,Single,1,0,34554.0,0,1,30-03-2014,33,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,75.625,0,0,1,0.010101010101010102,0.3333333333333333,9,0.6666666666666666
4518,1979,37,Graduation,0,1,0,0,0,Together,0,1,85693.0,0,1,20-04-2013,44,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1169,2143.1666666666665,0,0,1,0.04090909090909091,1.8,21,0.23809523809523808
9370,1945,71,PhD,1,0,0,0,0,Married,0,1,65846.0,0,0,17-05-2013,43,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,1120,2006.6666666666667,0,0,0,0.03488372093023256,1.5,13,0.3076923076923077
8908,1959,57,Graduation,0,1,0,0,0,Married,0,1,87195.0,0,0,08-05-2014,31,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1097,1416.9583333333333,0,0,0,0.0967741935483871,3.0,17,0.058823529411764705
8373,1979,37,Basic,0,0,0,1,0,Together,0,1,24594.0,1,0,10-12-2013,36,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29,43.5,0,1,0,0.005555555555555556,0.2,8,0.625
7533,1964,52,Graduation,0,1,0,0,0,Married,0,1,49096.0,1,1,24-09-2013,39,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,187,303.875,1,1,1,0.014652014652014652,0.5714285714285714,12,0.5833333333333334
2683,1969,47,Graduation,0,1,0,0,0,Married,0,1,52413.0,0,2,02-02-2013,46,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,910,1744.1666666666667,0,0,1,0.021739130434782608,1.0,22,0.2727272727272727
3629,1978,38,Graduation,0,1,0,0,0,Single,1,0,38557.0,1,0,19-12-2012,48,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,145,290.0,0,1,0,0.008928571428571428,0.42857142857142855,11,0.6363636363636364
10991,1960,56,Master,0,0,0,0,1,Married,0,1,89058.0,0,0,07-12-2012,48,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,850,1700.0,0,0,0,0.052083333333333336,2.5,10,0.2
5077,1979,37,Graduation,0,1,0,0,0,Together,0,1,77298.0,0,1,02-11-2013,37,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,969,1493.875,0,0,1,0.05405405405405406,2.0,20,0.15
7431,1991,25,PhD,1,0,0,0,0,Single,1,0,68126.0,0,0,10-11-2012,49,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1820,3715.8333333333335,0,0,0,0.015873015873015872,0.7777777777777778,18,0.5
3267,1963,53,Master,0,0,0,0,1,Together,0,1,57288.0,0,1,25-06-2014,30,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,608,760.0,0,0,1,0.044444444444444446,1.3333333333333333,15,0.4
