,Year_Birth,Education,ages,Marital_Status,PhD,Basic,2n Cycle,Master,Graduation,Income,single,married,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,months,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Total_Spent,Total_Spent_Per_Month,TotalChildren,HasChildren
54,1978,Graduation,38,Married,0,0,0,0,1,66373.0,0,1,1,1,12-06-2013,57,328,42,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,606,1060.5,2,1
55,1955,Master,61,Together,0,0,0,1,0,82384.0,0,1,0,0,19-11-2012,55,984,49,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1957,3995.5416666666665,0,0
56,1966,Graduation,50,Divorced,0,0,0,0,1,70287.0,1,0,0,0,02-04-2013,30,295,44,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1093,2003.8333333333333,0,0
57,1988,Graduation,28,Single,0,0,0,0,1,27938.0,1,0,1,0,28-04-2014,31,13,32,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,29,38.666666666666664,1,1
59,1968,PhD,48,Married,1,0,0,0,0,55954.0,0,1,0,1,03-03-2014,63,447,33,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,518,712.25,1,1
60,1982,Master,34,Single,0,0,0,1,0,75777.0,1,0,0,0,04-07-2013,12,712,41,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1438,2456.5833333333335,0,0
61,1975,Graduation,41,Together,0,0,0,0,1,66653.0,0,1,1,1,07-09-2012,18,452,51,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,612,1300.5,2,1
62,1952,Graduation,64,Single,0,0,0,0,1,61823.0,1,0,0,1,18-02-2013,26,523,46,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,884,1694.3333333333333,1,1
63,1951,PhD,65,Widow,1,0,0,0,0,67680.0,1,0,0,1,11-06-2013,8,546,42,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,606,1060.5,1,1
64,1948,Graduation,68,Together,0,0,0,0,1,70666.0,0,1,0,0,06-12-2013,29,398,36,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1076,1614.0,0,0
65,1971,Graduation,45,Married,0,0,0,0,1,25721.0,0,1,1,0,21-05-2013,75,1,43,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,34,60.916666666666664,1,1
66,1967,Graduation,49,Together,0,0,0,0,1,32474.0,0,1,1,1,11-05-2014,0,10,31,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,14.208333333333334,2,1
67,1979,2n Cycle,37,Single,0,0,1,0,0,88194.0,1,0,0,1,19-03-2014,19,688,33,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1274,1751.75,1,1
68,1958,Graduation,58,Together,0,0,0,0,1,69096.0,0,1,0,1,27-09-2013,4,247,39,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,653,1061.125,1,1
69,1970,Graduation,46,Together,0,0,0,0,1,74854.0,0,1,1,2,08-04-2013,90,856,44,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1562,2863.6666666666665,3,1
70,1954,Master,62,Married,0,0,0,1,0,66991.0,0,1,0,0,11-09-2012,1,496,51,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1253,2662.625,0,0
72,1959,Graduation,57,Married,0,0,0,0,1,65031.0,0,1,0,1,17-03-2013,29,258,45,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,863,1618.125,1,1
73,1975,PhD,41,Married,1,0,0,0,0,60631.0,0,1,1,1,05-04-2013,88,565,44,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,661,1211.8333333333333,2,1
74,1952,Graduation,64,Married,0,0,0,0,1,28332.0,0,1,0,0,30-04-2014,58,14,32,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,65,86.66666666666667,0,0
75,1977,Graduation,39,Divorced,0,0,0,0,1,40246.0,1,0,1,0,19-12-2012,68,2,48,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,13,26.0,1,1
76,1972,Master,44,Married,0,0,0,1,0,75251.0,0,1,0,0,27-08-2012,34,721,52,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1890,4095.0,0,0
77,1976,Graduation,40,Single,0,0,0,0,1,75825.0,1,0,0,0,12-10-2012,40,1032,50,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2209,4602.083333333333,0,0
78,1976,2n Cycle,40,Together,0,0,1,0,0,26326.0,0,1,0,0,04-09-2013,12,1,39,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,18,29.25,0,0
79,1965,Graduation,51,Together,0,0,0,0,1,56046.0,0,1,0,0,02-01-2013,9,577,47,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692,1355.1666666666667,0,0
80,1985,Graduation,31,Single,0,0,0,0,1,29760.0,1,0,1,0,29-08-2012,87,64,52,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,165,357.5,1,1
81,1969,Graduation,47,Married,0,0,0,0,1,26304.0,0,1,1,0,23-06-2013,5,4,42,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,16,28.0,1,1
82,1973,2n Cycle,43,Married,0,0,1,0,0,23559.0,0,1,1,0,03-07-2013,87,25,41,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,79,134.95833333333334,1,1
83,1963,Master,53,Together,0,0,0,1,0,38620.0,0,1,0,0,11-05-2013,56,112,43,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,569.75,0,0
84,1987,Graduation,29,Divorced,0,0,0,0,1,81361.0,1,0,0,0,25-02-2014,18,163,34,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,778,1102.1666666666667,0,0
85,1960,Graduation,56,Married,0,0,0,0,1,29440.0,0,1,1,1,11-08-2013,95,17,40,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,56,93.33333333333333,2,1
86,1970,Master,46,Married,0,0,0,1,0,36138.0,0,1,1,1,16-07-2013,48,130,41,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,151,257.9583333333333,2,1
87,1957,Graduation,59,Single,0,0,0,0,1,50388.0,1,0,0,1,28-05-2014,3,292,31,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,372,480.5,1,1
88,1973,Graduation,43,Married,0,0,0,0,1,79593.0,0,1,0,0,12-05-2014,70,350,31,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1366,1764.4166666666667,0,0
89,1967,Graduation,49,Together,0,0,0,0,1,54178.0,0,1,0,1,21-01-2014,79,135,35,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,194,282.9166666666667,1,1
93,1972,Master,44,Single,0,0,0,1,0,42394.0,1,0,1,0,23-03-2014,69,15,33,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,32,44.0,1,1
94,1970,PhD,46,Married,1,0,0,0,0,23626.0,0,1,1,0,24-05-2014,84,27,31,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,43,55.541666666666664,1,1
95,1983,Graduation,33,Married,0,0,0,0,1,30096.0,0,1,1,0,22-05-2014,30,5,31,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,45,58.125,1,1
96,1960,Graduation,56,Widow,0,0,0,0,1,47916.0,1,0,0,1,22-11-2012,72,505,49,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,606,1237.25,1,1
97,1972,Graduation,44,Divorced,0,0,0,0,1,51813.0,1,0,1,1,11-04-2013,37,51,44,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,63,115.5,2,1
98,1951,2n Cycle,65,Married,0,0,1,0,0,78497.0,0,1,0,0,01-12-2013,44,207,36,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,978,1467.0,0,0
99,1983,PhD,33,Married,1,0,0,0,0,50150.0,0,1,0,0,20-06-2013,32,135,42,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,410,717.5,0,0
100,1960,2n Cycle,56,Single,0,0,1,0,0,47823.0,1,0,0,1,23-07-2013,0,53,41,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,72,123.0,1,1
101,1959,PhD,57,Single,1,0,0,0,0,34554.0,1,0,0,1,30-03-2014,43,41,33,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,75.625,1,1
102,1979,Graduation,37,Together,0,0,0,0,1,85693.0,0,1,0,1,20-04-2013,59,386,44,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1169,2143.1666666666665,1,1
103,1945,PhD,71,Married,1,0,0,0,0,65846.0,0,1,0,0,17-05-2013,68,562,43,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,1120,2006.6666666666667,0,0
104,1959,Graduation,57,Married,0,0,0,0,1,87195.0,0,1,0,0,08-05-2014,35,217,31,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1097,1416.9583333333333,0,0
105,1979,Basic,37,Together,0,1,0,0,0,24594.0,0,1,1,0,10-12-2013,94,1,36,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29,43.5,1,1
106,1964,Graduation,52,Married,0,0,0,0,1,49096.0,0,1,1,1,24-09-2013,15,144,39,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,187,303.875,2,1
107,1969,Graduation,47,Married,0,0,0,0,1,52413.0,0,1,0,2,02-02-2013,56,295,46,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,910,1744.1666666666667,2,1
108,1978,Graduation,38,Single,0,0,0,0,1,38557.0,1,0,1,0,19-12-2012,17,76,48,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,145,290.0,1,1
109,1960,Master,56,Married,0,0,0,1,0,89058.0,0,1,0,0,07-12-2012,18,454,48,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,850,1700.0,0,0
110,1979,Graduation,37,Together,0,0,0,0,1,77298.0,0,1,0,1,02-11-2013,46,425,37,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,969,1493.875,1,1
111,1991,PhD,25,Single,1,0,0,0,0,68126.0,1,0,0,0,10-11-2012,40,1332,49,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1820,3715.8333333333335,0,0
112,1963,Master,53,Together,0,0,0,1,0,57288.0,0,1,0,1,25-06-2014,27,527,30,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,608,760.0,1,1
113,1991,Graduation,25,Single,0,0,0,0,1,86037.0,1,0,0,0,02-01-2013,95,490,47,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,730,1429.5833333333333,0,0
114,1980,PhD,36,Married,1,0,0,0,0,43974.0,0,1,1,0,12-12-2012,19,378,48,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,551,1102.0,1,1
115,1962,Graduation,54,Single,0,0,0,0,1,50785.0,1,0,1,1,10-09-2013,27,64,39,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,114,185.25,2,1
116,1970,Graduation,46,Married,0,0,0,0,1,90765.0,0,1,0,0,24-01-2014,25,547,35,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1724,2514.1666666666665,0,0
117,1978,2n Cycle,38,Married,0,0,1,0,0,36550.0,0,1,1,0,19-02-2013,74,47,46,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,577,1105.9166666666667,1,1
118,1967,2n Cycle,49,Together,0,0,1,0,0,30753.0,0,1,1,1,11-07-2013,85,12,41,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,81,138.375,2,1
119,1969,Graduation,47,Together,0,0,0,0,1,21918.0,0,1,1,0,14-11-2013,37,1,37,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,33,50.875,1,1
120,1953,Master,63,Together,0,0,0,1,0,56129.0,0,1,0,1,20-06-2013,65,320,42,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,660,1155.0,1,1
121,1967,Master,49,Single,0,0,0,1,0,32557.0,1,0,1,0,24-02-2014,13,34,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,80,113.33333333333333,1,1
122,1985,Master,31,Married,0,0,0,1,0,19510.0,0,1,2,0,04-09-2013,63,9,39,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,30,48.75,2,1
123,1976,Graduation,40,Divorced,0,0,0,0,1,30992.0,1,0,1,0,22-04-2013,83,17,44,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,43,78.83333333333333,1,1
124,1983,Graduation,33,Single,0,0,0,0,1,101970.0,1,0,0,0,12-03-2013,69,722,45,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,1135,2128.125,0,0
125,1965,2n Cycle,51,Together,0,0,1,0,0,71488.0,0,1,0,0,18-02-2013,87,162,46,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,559,1071.4166666666667,0,0
126,1984,Graduation,32,Single,0,0,0,0,1,79607.0,1,0,0,0,21-04-2013,37,450,44,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,1923,3525.5,0,0
127,1953,Master,63,Married,0,0,0,1,0,54348.0,0,1,1,1,08-06-2014,51,70,30,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,90,112.5,2,1
129,1956,PhD,60,Together,1,0,0,0,0,77376.0,0,1,1,1,10-05-2014,72,492,31,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,661,853.7916666666666,2,1
130,1952,Graduation,64,Married,0,0,0,0,1,62998.0,0,1,0,1,30-09-2013,10,120,39,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,463,752.375,1,1
131,1958,Master,58,Alone,0,0,0,1,0,61331.0,1,0,1,1,10-03-2013,42,534,45,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,632,1185.0,2,1
132,1969,Graduation,47,Married,0,0,0,0,1,73448.0,0,1,0,0,10-02-2014,10,236,34,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,725,1027.0833333333333,0,0
134,1964,PhD,52,Married,1,0,0,0,0,41551.0,0,1,1,1,14-08-2013,51,220,40,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,279,465.0,2,1
135,1967,PhD,49,Together,1,0,0,0,0,62981.0,0,1,0,0,17-03-2013,21,796,45,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,1482,2778.75,0,0
136,1976,Basic,40,Divorced,0,1,0,0,0,9548.0,1,0,1,0,08-08-2012,31,0,52,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,29,62.833333333333336,1,1
137,1959,PhD,57,Married,1,0,0,0,0,33762.0,0,1,2,1,07-07-2013,61,53,41,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,106,181.08333333333334,3,1
138,1973,PhD,43,Alone,1,0,0,0,0,35860.0,1,0,1,1,19-05-2014,37,15,31,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,49,63.291666666666664,2,1
139,1965,PhD,51,Divorced,1,0,0,0,0,36921.0,1,0,1,1,28-07-2013,74,17,41,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,38,64.91666666666667,2,1
140,1992,Master,24,Single,0,0,0,1,0,92859.0,1,0,0,0,19-10-2012,46,962,50,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,2077,4327.083333333333,0,0
141,1976,Master,40,Together,0,0,0,1,0,65104.0,0,1,0,1,14-11-2013,4,738,37,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1053,1623.375,1,1
142,1962,Graduation,54,Married,0,0,0,0,1,86111.0,0,1,0,0,19-04-2013,73,399,44,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,1385,2539.1666666666665,0,0
